17,48188644,16334397,2498,221, 1442
 
33,48188754,16334497,3533,221, 1433
 
49,48188844,16334197,4502,221, 1441
 
65,48188644,16334097,5471,221, 1449
 
81,48188644,16334097,8486,221, 1441
 
97,48188644,16334095,9522,221, 1451
 
113,48188644,16334095,12473,221, 1439
 
129,48188644,16334093,13442,221, 1441
 
145,48188644,16334093,14476,221, 1458
 
161,48188644,16334093,16699,221, 1070
 
177,48188644,16334093,17470,221, 1058
 
193,48188644,16334091,18505,221, 1353
 
209,48188644,16334091,19540,221, 1452
 
225,48188644,16334091,20509,221, 1796
 
241,48188644,16334091,21742,221, 1795
 
257,48188648,16334089,22447,221, 1767
 
273,48188648,16334087,24538,221, 1456
 
289,48188648,16334085,27489,221, 1431
 
305,48188648,16334084,28457,221, 1433
 
321,48188652,16334082,29492,221, 1447
 
337,48188652,16334080,30527,221, 1431
 
353,48188652,16334078,31694,221, 1437
 
369,48188652,16334078,32464,221, 1431
 
385,48188652,16334074,33500,221, 1426
 
401,3489724732,1879432192,2785206093,63804, 53248
 
417,1879432192,2785206093,3489724732,56320, 28677
 
433,2785206093,3489724732,1879432192,57165, 42498
 
449,3489724732,1879432192,2785206093,63804, 53248
 
465,1879432192,2785206093,3489724732,56320, 28677
 
481,2751651661,3489724732,1879432192,57165, 41986
 
497,3489724732,1879432192,2751651661,63804, 53248
 
513,1879432192,2751651661,3489724732,56320, 29701
 
529,2751651661,3489724732,1946541056,57165, 41986
 
545,3489724732,1946541056,2751651661,63804, 53248
 
561,1946541056,2634211149,3489724732,56320, 29701
 
577,2466438989,3489724732,1946541056,57165, 35586
 
593,3489724732,1946541056,2214780749,63804, 53248
 
609,2013649920,2080563021,3506501948,56320, 30725
 
625,1979899725,3506501948,2013649920,57165, 28418
 
641,3506501948,2013649920,1761795917,63804, 53504
 
657,2080758784,1694687053,3506501948,56320, 31749
 
673,1610800973,3506501948,2080758784,57165, 24578
 
689,3506501948,2080758784,1610800973,63804, 53504
 
705,2080758784,1610800973,3506501948,56320, 31749
 
721,1610800973,3506501948,2080758784,57165, 24578
 
737,3506501948,2080758784,1610800973,63804, 53504
 
753,2080758784,1610800973,3506501948,56320, 31749
 
769,1610800973,3506501948,2080758784,57165, 24578
 
785,3506501948,2080758784,1610800973,63804, 53504
 
801,2080758784,1610800973,3506501948,56320, 31749
 
817,1610800973,3506501948,2080758784,57165, 24578
 
833,3506501948,2080758784,1610800973,63804, 53504
 
849,2080758784,1577246541,3506501948,56320, 31749
 
865,1577246541,3506501948,2080758784,57165, 24066
 
881,3506501948,2080758784,1577246541,63804, 53504
 
897,2080758784,1577246541,3506501948,56320, 31749
 
913,1577246541,3506501948,2080758784,57165, 24066
 
929,3506501948,2080758784,1577246541,63804, 53504
 
945,2080758784,1577246541,3506501948,56320, 31749
 
